sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
hidattack,,2,1,bt4,,
hping2,,2,1,bt4,,
hping3,,2,1,bt4,,
httprint-gui,httprint,wine httprint_gui.exe,0,bt4,,
httprint,,1,1,bt4,,
httpsquash,,1,1,bt4,,
hydra,,1,1,bt4,,
iaxflood,,1,1,bt4,,
icmp_redirect,icmp-redirect,1,1,bt4,,
icommander-client,icommander,3,1,bt4,Icommander-Client,
icommander,,3,1,bt4,Icommander,
idapro,,wine idag.exe,0,bt4,IDA Pro (Free),
igrp,igrp-route-injection,1,1,bt4,,
ike-scan,,1,1,bt4,,
samrdump,impacket,1,1,bt4,,
smbclient,impacket,1,1,bt4,,
imprange,,,,bt4,,
ingumagui,inguma,1,0,bt4,,
inguma,,echo use the help command; python inguma.py,1,bt4,,
inundator,,1,1,bt4,,
inviteflood,,1,1,bt4,,
ipcalc,,3,1,bt4,,
ipscan,,1,0,bt4,Angry IPScan,
irdpresponder,,1,1,bt4,IRDP Responder,
isp,,1,1,bt4,ISP,
itrace,,3,1,bt4,,
ivstools,,1,1,bt4,,
iwar,,1,1,bt4,Iwar,
jbrofuzz,,1,0,bt4,JBroFuzz,
jmeter,,1,0,bt4,jakarta-jmeter,
john,,1,1,bt4,,
joomscan,,2,1,bt4,,
kisgearth,,1,1,bt4,,
kismet,,1,1,bt4,,
kmsapng,,1,1,bt4,,
kstats,,1,1,bt4,,
lanmap,,2,1,bt4,,
lanmap2,,1,1,bt4,,
lbd,,1,1,bt4,,
leo,,1,0,bt4,,
letdown,,1,1,bt4,,
links,,,,bt4,,
listurls,,1,1,bt4,,
lodowep,,-1,1,bt4,,
lynx,,3,1,bt4,,
macchanger,,3,1,bt4,,
macchanger-gtk,,3,1,bt4,,
magicrescue,,1,1,bt4,,
maltego,,,,bt4,,
mboxgrep,,3,1,bt4,,
mctx,,1,0,bt4,metacoretex,
mdk3,,1,1,bt4,,
medusa,,1,1,bt4,,
memdump,,2,1,bt4,,
metagoofil,,1,1,bt4,,
msfcli,metasploit2,1,1,bt4,,
msfconsole,metasploit2,1,1,bt4,,
msfupdate,metasploit2,1,1,bt4,,
msfweb,metasploit2,1,1,bt4,,
msfcli,metasploit3,1,1,bt4,,
msfconsole,metasploit3,1,1,bt4,,
msfgui,metasploit3,1,0,bt4,,
msfweb,metasploit3,1,1,bt4,,
middler,,3,1,bt4,,
minicom,,2,1,bt4,,
miredo-server,miredo,2,1,bt4,,
miredo,,2,1,bt4,,
mitmap,,1,1,bt4,,
mms,,1,0,bt4,Mini MySqlat0r,
mssqlscan,,1,1,bt4,,
mysqlaudit,,1,1,bt4,,
nbtscan,,nbtscan -vh,1,bt4,,
ncrack,,1,1,bt4,,
nemesis,,2,1,bt4,,
nessus,,,,bt4,,
netactview,,1,0,bt4,,
netenum,,1,1,bt4,,
netifera,,1,0,bt4,,
netmask,,2,1,bt4,,
netsed,,1,1,bt4,,
nikto,,2,1,bt4,,
xnmap,nmap,1,0,bt4,Zenmap,
nmap,,1,1,bt4,,
nsat,,nsat -C,1,bt4,,
nstx,,2,1,bt4,,
ntop,,2,1,bt4,,
opwg,oat,1,1,bt4,,
oquery,oat,1,1,bt4,,
ose,oat,1,1,bt4,,
otnsctl,oat,1,1,bt4,,
obexftp,,3,1,bt4,,
obexstress,,1,1,bt4,,
oclhashcat,,3,1,bt4,,
ohrwurm,,1,1,bt4,,
ollydbg,,1,0,bt4,,
onesixtyone,,2,1,bt4,,
openacunetix,,1,0,bt4,,
openvas-adduser,openvas,1,1,bt4,,
openvas-client,openvas,1,0,bt4,,
openvas-mkcert,openvas,1,1,bt4,,
openvas-nvt-sync,openvas,1,1,bt4,,
ophcrack,,,,bt4,,
orinoco_hopper,orinoco-hopper,1,1,bt4,,
oscanner,,1,1,bt4,,
p0f,,3,1,bt4,,
packetforge-ng,,1,1,bt4,,
packeth,,1,0,bt4,,
packet-o-matic ,,3,1,bt4,,
packet-replay,,-1,1,bt4,,
packit,,1,1,bt4,,
paros,,1,0,bt4,,
pblind,,1,1,bt4,,
outputpbnj,pbnj,1,1,bt4,,
scanpbnj,pbnj,1,1,bt4,,
pcapdump,,3,1,bt4,,
pcapsipdump,,1,1,bt4,,
peach,,-1,1,bt4,,
photorec,,1,1,bt4,,
powerfuzzer,,1,0,bt4,,
propecia,,1,1,bt4,,
protos,,2,1,bt4,,
protos-sip,,java -jar c07-sip-r2.jar -help,1,bt4,,
proxychains,,1,1,bt4,,
proxyresolv,,1,1,bt4,,
proxystrike,,1,0,bt4,,
proxytunnel,,3,1,bt4,,
psk-crack,,1,1,bt4,pskscan?,
ptunnel,,2,1,bt4,,
pw-inspector,,1,1,bt4,,
pyrit,,1,1,bt4,,
rarcrack,,3,1,bt4,,
ratproxy,,3,1,bt4,,
rtdump,rcrack,1,1,bt4,,
rtgen,rcrack,1,1,bt4,,
rtsort,rcrack,1,1,bt4,,
rcrack,,1,1,bt4,RainbowCrack,
redfang,,2,1,bt4,,
redirectpoison,,1,1,bt4,,
reverseraider,,1,1,bt4,,
bruteforce,rfidiot,./bruteforce.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Bruteforce Mifare,ACG
cardselect,rfidiot,./cardselect.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Select TAG,ACG
cardselect,rfidiot,./cardselect.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Select TAG,PCSC
chap,rfidiot,./ChAP.py,1,bt4,Chip & PIN info,
copytag,rfidiot,./copytag.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Copy ISO15693 TAG,ACG
eeprom,rfidiot,./eeprom.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Read ACG Reader EEPROM,ACG
fdxbnum,rfidiot,./fdxbnum.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Set FDX-B ID,ACG
fdxbnum,rfidiot,./fdxbnum.py -R RFIDIOt.rfidiot.READER_FROSCH -l /dev/ttyUSB0 -s 9600,1,bt4,Set FDX-B ID,Frosch
formatmifare,rfidiot,./formatmifare1kvalue.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Format MIFARE 1k Value Blocks,ACG
froschtest,rfidiot,./froschtest.py -R RFIDIOt.rfidiot.READER_FROSCH -l /dev/ttyUSB0 -s 9600,1,bt4,Test Frosch Reader,Frosch
hitag2brute,rfidiot,./hitag2brute.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Brute Force Hitag2,ACG
hitag2reset,rfidiot,./hitag2reset.py -R RFIDIOt.rfidiot.READER_FROSCH -l /dev/ttyUSB0 -s 9600 CONTROL,1,bt4,Reset Hitag2 TAG,Frosch
install-atr,rfidiot,make install-atr,1,bt4,Install ATR Historical Byte applet to JCOP,PCSC
install-mifare,rfidiot,make install-mifare,1,bt4,Install Mifare applet to JCOP,PCSC
install-passport,rfidiot,make install-passport,1,bt4,Install vonJeek ePassport emulator to JCOP,PCSC
install-passport-nokia,rfidiot,make install-passport-nokia,1,bt4,Install vonJeek ePassport emulator to Nokia,PCSC
isotype,rfidiot,./isotype.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Identify HF TAG Type,PCSC
isotype,rfidiot,./isotype.py -R RFIDIOt.rfidiot.READER_ACG -s 9600 -l /dev/ttyUSB0,1,bt4,Identify HF TAG Type,ACG
jcopmifare,rfidiot,./jcopmifare.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,JCOP MIFARE READ WRITE,ACG
jcopmifare,rfidiot,./jcopmifare.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,JCOP MIFARE READ/WRITE,PCSC
